"id","title","time","director","year","star","cost"
1579,"Spider-Man 2 (Widescreen Special Edition) "," 127 minutes ","Sam Raimi",11/30/04,"Rosemary Harris",$4.99
1580,"The Pirate "," 101 minutes ","Vincente Minnelli",07/24/07,"Judy Garland",$9.95
1581,"Silverado    ","2 hours, 13 minutes","Lawrence Kasdan",1985,"Kevin Kline, Scott Glenn","Rent HD $3.99,Rent SD $2.99,Buy HD $10.99,Buy SD $7.99,"
1582,"The Mummy "," 88 minutes ","Terence Fisher",09/06/05,"Peter Cushing",$5.92
1583,"Tru Calling: The Complete Series "," 60 minutes ",,08/12/08,"Eliza Dushku",$44.86
1584,"U.S. Marshals [Blu-ray] "," 131 minutes ","Stuart Baird",06/05/12,"Tommy Lee Jones",$9.14
1585,"Lupin the 3rd: The Complete First TV Series "," 575 minutes ",,06/26/12,"Yasuo Yamada",$41.39
1586,"Gods and Generals "," 229 minutes ","Ronald F. Maxwell",02/08/05,"Jeff Daniels",$4.99
1587,"Flight Of The Intruder (1991) "," 115 minutes ","Various",05/21/13,"Various",$8.16
1588,"The Blue Max "," 150 minutes ","John Guillermin",05/20/03,"George Peppard",$9.62
1589,"Lancelot Link: Secret Chimp   ",09/12/70,"Pat Shields",1970,"25 minutes","Buy SD $19.99,"
1590,"Super Eruption "," 88 minutes ","Matt Codd",08/13/13,"Richard Burgi",$4.83
1591,"Joe Dirt [Blu-ray] "," 91 minutes ","Dennie Gordon",07/07/15,"David Spade",$12.28
1592,"Broken    ","1 hour, 31 minutes","Damian X. Fulton",2015,"Soren Fulton, Felix Ryan","Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
1593,"Conan The Barbarian (2011)    ","1 hour, 53 minutes","Marcus Nispel",2011,"Jason Momoa, Stephen Lang","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $5.99,"
1594,"The Taking of Pelham One Two Three    ","1 hour, 45 minutes","Joseph Sargent",1974,"Walter Matthau, Robert Shaw","Buy SD $9.99,"
1595,"Campion - The Complete Second Season "," 440 minutes ","Various",10/25/05,"Various",$51.96
1596,"Beowulf    ","1 hour, 55 minutes","Robert Zemeckis",2007,"Robin Wright, Anthony Hopkins","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
1597,"Trinity Blood: Complete Series Box Set [Blu-ray] "," 528 minutes ","Mike McFarland",03/23/10,"Colleen Clinkenbeard",$28.79
1598,"LEGO Hero Factory: Savage Planet    ","45 minutes","Howard E. Baker",2011,"John Schneider, Henry Winkler","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1599,"Hitler: The Rise of Evil with Bonus Features "," 377 minutes ","Five Features",10/15/13,"Liev Schreiber",$8.07
1600,"Looney Tunes Back In Action    ","1 hour, 32 minutes","Joe Dante",2003,"Brendan Fraser, Jenna Elfman","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
1601,"Knowing "," 121 minutes ",,07/07/09,"Nicolas Cage",$7.27
1602,"Riddick Trilogy (Pitch Black / The Chronicles of Riddick: Dark Fury / The Chronicles of Riddick) "," 281 minutes ","David Twohy",05/30/06,"Vin Diesel",$11.88
1603,"Firefox    ","2 hours, 17 minutes","Clint Eastwood",1982,"Clint Eastwood, Freddie Jones","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1604,"Bachelor Party/Porky's/Revenge Of The Nerds/Weekend At Bernie's ",,,05/06/14,"Adrian Zmed",$14.56
1605,"Lone Wolf McQuade "," 107 minutes ","Steve Carver",11/20/01,"Chuck Norris",$7.50
1606,"Runaway Train "," 111 minutes ","Andrey Konchalovskiy",03/31/98,"Jon Voight",$29.99
1607,"Destination Tokyo "," 135 minutes ","Various",02/14/06,"Various",$7.55
1608,"Ronin [Blu-ray] "," 121 minutes ","John Frankenheimer",02/24/09,"Robert De Niro",$9.70
1609,"Harold & Kumar Go to White Castle (Unrated)    ","1 hour, 29 minutes","Danny Leiner",2004,"John Cho, Ethan Embry","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1610,"Person of Interest   ","44 minutes","Chris Fisher",2013,"Jim Caviezel, Taraji P. Henson","Buy SD $1.99,Buy HD $34.99,Buy SD $34.99,"
1611,"The Time Machine "," 96 minutes ","Simon Wells",07/23/02,"Guy Pearce",$11.41
1612,"Xena: Warrior Princess - Season Five "," 979 minutes ",,07/22/14,"Lucy Lawless",$14.96
1613,"The Great Raid "," 132 minutes ","John Dahl",04/26/11,"Benjamin Bratt",$6.59
1614,"Analyze This / Analyze That (Double Feature) "," 518 minutes ","Harold Ramis",09/18/07,"Robert De Niro",$9.94
1615,"Age of Uprising: The Legend of Michael Kohlhaas (English Subtitled)   ","2 hours, 2 minutes","Arnaud des Pallières",2014,"Mads Mikkelsen, Mélusine Mayance","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
1616,"Backdraft    ","2 hours, 18 minutes","Ron Howard",1991,"Kurt Russell, William Baldwin","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1617,"The Bourne Identity (Widescreen Extended Edition) "," 119 minutes ","Doug Liman",07/13/04,"Matt Damon",$8.49
1618,"The Gods Must Be Crazy (1980) "," 109 minutes ","Jamie Uys",06/01/04,"Michael Thys",$69.99
1619,"Kill the Irishman    ","1 hour, 47 minutes","Jonathan Hensleigh",2011,"Ray Stevenson, Vincent D'Onofrio","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $7.99,"
1620,"Natural Born Killers: Director's Cut "," 205 minutes ","Oliver Stone",10/13/09,"Woody Harrelson",$8.00
1621,"King Kong    ","3 hours, 8 minutes","Peter Jackson",2005,"Naomi Watts, Jack Black","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
1622,"Surrogates "," 89 minutes ","Jonathan Mostow",01/26/10,"Bruce Willis",$4.99
1623,"Revolution: Season 1 "," 860 minutes ",,09/03/13,"Billy Burke",$15.75
1624,"Beau Geste (Universal Backlot Series) "," 112 minutes ","William A. Wellman",07/07/09,"Gary Cooper",$14.51
1625,"Ricochet "," 103 minutes ","Russell Mulcahy",11/15/05,"Denzel Washington",$3.74
1626,"Maximum Overdrive "," 98 minutes ","Stephen King",11/07/06,"Emilio Estevez",$59.25
1627,"Grave Encounters "," 93 minutes ","The Vicious Brothers",10/18/11,"Sean Rogerson",$13.76
1628,"Outlander "," 115 minutes ","Howard McCain",05/19/09,"Jim Caviezel",$10.00
1629,"Mr. & Mrs. Smith (Widescreen Edition) "," 120 minutes ","Doug Liman",11/29/05,"Brad Pitt",$14.65
1630,"Haywire "," 93 minutes ",,05/01/12,"Gina Carano",$5.05
1631,"4 Film Favorites: Denzel Washington (Fallen, John Q, The Pelican Brief, Training Day) "," 499 minutes ","Antoine Fuqua",08/02/11,"Denzel Washington",$9.44
1632,"The Dukes of Hazzard (Unrated Widescreen Edition) "," 107 minutes ","Jay Chandrasekhar",09/04/07,"Johnny Knoxville",$7.24
1633,"Iron Eagle "," 116 minutes ","Sidney J. Furie",10/01/02,"Shawnee Smith",$59.47
1634,"Alaskan Bush People   ",12/19/14,,2014,,"Buy SD $1.99,Buy HD $14.99,Buy SD $12.99,"
1635,"All Quiet on the Western Front (Universal Cinema Classics) "," 132 minutes ","Lewis Milestone",02/06/07,"Lew Ayres",$9.58
1636,"Lone Star "," 135 minutes ","John Sayles",04/26/05,"Ron Canada",$9.14
1637,"Babe: Pig in the City    ","1 hour, 37 minutes","George Miller",1998,"Magda Szubanski, James Cromwell","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1638,"Doctor Who   ","46 minutes","Toby Haynes",2011,"Matt Smith, Karen Gillan","Buy SD $1.99,Buy HD $19.99,Buy SD $12.99,"
1639,"Menace II Society / Juice (DBFE) ",,"Various",03/12/13,"Various",$4.99
1640,"House of Flying Daggers [Blu-ray] "," 119 minutes ","Zhang Yimou",06/20/06,"Takeshi Kaneshiro",$10.50
1641,"Radio Flyer "," 114 minutes ","Richard Donner",10/12/04,"John Heard",$6.30
1642,"Into Thin Air: Death on Everest "," 90 minutes ","Robert Markowitz",05/22/01,"Pamela Gien",
1643,"Getting There: Sweet Sixteen & Licensed to Drive    ","1 hour, 26 minutes","Steve Purcell",2002,"Mary-Kate Olsen, Ashley Olsen","Rent SD $1.99,Buy SD $9.99,"
1644,"TCM GCF Legends: Robert Mitchum (4FE) "," 472 minutes ","Various",04/01/14,"Various",$9.56
1645,"The 36th Chamber of Shaolin "," 117 minutes ","Lau Kar Leung",06/19/07,"Gordon Liu",$5.00
1646,"Babylon 5: The Legend of the Rangers "," 90 minutes ","Michael Vejar",03/14/06,"Dylan Neal",$14.93
1647,"The American President / Dave "," 115 minutes ","Frank Langella",01/02/07,"Michael Douglas",$5.00
1648,"Absolution    ","1 hour, 36 minutes","Keoni Waxman",2015,"Steven Seagal, Byron Mann","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $12.99,"
1649,"Fire and Ice [Blu-ray] "," 81 minutes ","Ralph Bakshi",09/01/09,"Leo Gordon",$13.79
1650,"Memories of Scotland    ",,,1905,,"Buy SD $5.99,"
1651,"Over The Top (1987) "," 94 minutes ","Menahem Golan",09/08/09,"Robert Loggia",$4.69
1652,"The Martian Chronicles "," 281 minutes ",,09/07/04,"Rock Hudson",$109.94
1653,"Scarecrow and Mrs. King: Season 2 "," 300 minutes ",,03/22/11,"Kate Jackson",$22.49
1654,"Claim    ","1 hour, 14 minutes","Murray Wais",2008,"Mark Abma, Ingrid Backstrom","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $5.99,"
1655,"Bad Boys    ","1 hour, 59 minutes","Michael Bay",1995,"Lisa Boyle, Will Smith","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
1656,"The Buccaneers "," 302 minutes ","Philip Saville",04/18/06,"Mira Sorvino",$8.99
1657,"Shanghai Noon    ","1 hour, 51 minutes","Tom Dey",2000,"Jackie Chan, Owen Wilson","Rent HD $3.99,Rent SD $2.99,"
1658,"The Sorcerer s Apprentice / The Beastmaster "," 204 minutes ","David Lister",02/05/13,"Robert Davi",$6.99
1659,"Battleground (1949) "," 118 minutes ","William A. Wellman",02/14/06,"Van Johnson",$7.99
1660,"Beowulf "," 115 minutes ","Robert Zemeckis",02/26/08,"Ray Winstone",$5.00
1661,"Bruce Lee: The Big Boss / Fist Of Fury "," 206 minutes ","Wei Lo",04/30/13,"Bruce Lee",$8.36
1662,"Superman II    ","2 hours, 8 minutes","Richard Lester",1981,"Gene Hackman, Christopher Reeve","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
1663,"Raise The Titanic (BluRay/DVD Combo) [Blu-ray] "," 114 minutes ","Jerry Jameson",01/21/14,"Richard Jordan",$13.39
1664,"Captain America (1979) / Captain America II: Death Too Soon (1979) "," 203 minutes ","Rod Holcomb",10/18/11,"Reb Brown",$3.98
1665,"Lois & Clark: The New Adventures of Superman: Season 1 "," 1074 minutes ","Various",01/17/06,"Dean Cain",$9.06
1666,"Seeking a Friend for the End of the World "," 101 minutes ","Lorene Scafaria",10/23/12,"Steve Carell",$7.29
1667,"Nighthawks "," 100 minutes ","Bruce Malmuth",05/11/04,"Sylvester Stallone",$9.61
1668,"Storming Juno    ","1 hour, 29 minutes","Tim Wolochatiuk",2013,"Benjamin Muir, Kevin Jake Walker","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1669,"Resident Evil: Extinction    ","1 hour, 35 minutes","Russell Mulcahy",2007,"Milla Jovovich, Oded Fehr","Buy HD $12.99,Buy SD $9.99,"
1670,"The Mechanic "," 93 minutes ","Simon West",05/17/11,"Jason Statham",$6.59
1671,"Legend (Ultimate Edition) "," 204 minutes ","Ridley Scott",05/21/02,"Tom Cruise",
1672,"The Thomas Crown Affair "," 102 minutes ","Norman Jewison",05/17/05,"Steve McQueen",$25.99
1673,"Wild Target "," 98 minutes ",,02/08/11,"Bill Nighy",$5.69
1674,"Bob Hope MGM Movie Legends Collection (Alias Jesse James/Boy, Did I Get the Wrong Number/The Facts of Life/I'll Take Sweden/The Princess and the Pirate/The Road to Hong Kong/They've Got Me Covered) "," 672 minutes ","George Marshall",12/04/07,"Bob Hope",$93.88
1675,"Star Trek: The Motion Picture, The Director's Cut (Special Collector's Edition) "," 132 minutes ","Robert Wise",11/06/01,"William Shatner",$12.89
1676,"The A-Team - Season Four "," 2222 minutes ",,04/04/06,"George Peppard",$12.99
1677,"The Tuskegee Airmen "," 114 minutes ",,03/09/10,"Laurence Fishburne",$5.98
1678,"Daredevil (Director's Cut) [Blu-ray] "," 133 minutes ","Mark Steven Johnson",09/30/08,"Ben Affleck",$18.95
1679,"Air America (Special Edition) "," 113 minutes ","Roger Spottiswoode",11/24/09,"Mel Gibson",$5.50
1680,"G.I. Joe: The Rise of Cobra [Blu-ray] "," 118 minutes ","Stephen Sommers",10/19/10,"Dennis Quaid",$9.69
1681,"Stagecoach (The Criterion Collection) "," 96 minutes ","John Ford",05/25/10,"John Wayne",$22.76
1682,"Doctor Who   ","1 hour, 13 minutes","James Strong",2007,"David Tennant, Kylie Minogue","Buy SD $24.99,"
1683,"MacGyver - The Complete Second Season "," 1046 minutes ","Alan Crosland",06/07/05,"Richard Dean Anderson",$10.99
1684,"Human Target   ","44 minutes","Simon West",2010,"Mark Valley, Chi McBride","Buy SD $1.99,Buy HD $24.99,Buy SD $19.99,"
1685,"Grand Prix (BD) [Blu-ray] "," 178 minutes ","John Frankenheimer",05/24/11,"James Garner",$9.29
1686,"Lost in Space    ","2 hours, 11 minutes","Stephen Hopkins",1998,"William Hurt, Mimi Rogers","Buy HD $12.99,Buy SD $9.99,"
1687,"Death Wish "," 94 minutes ","Various",08/02/06,"Various",$6.53
1688,"Uncommon Valor (1983) "," 105 minutes ","Ted Kotcheff",05/22/01,"Gene Hackman",$5.90
1689,"The Pink Panther "," 93 minutes ","Shawn Levy",06/13/06,"Henry Czerny",$4.95
1690,"Stargate Atlantis: Season 3 "," 871 minutes ","Andy Mikita",09/18/07,"Joe Flanigan",$9.99
1691,"Supergirl (1984)    ","2 hours, 5 minutes","Jeannot Szwarc",1984,"Faye Dunaway, Helen Slater","Rent SD $2.99,Buy SD $9.99,"
1692,"First Knight "," 134 minutes ","Jerry Zucker",10/07/97,"Sean Connery",$8.41
1693,"Rob Roy [Blu-ray] "," 139 minutes ","Michael Caton-Jones",01/11/11,"Liam Neeson",$9.56
1694,"Ghost Rider (Extended Cut) [Blu-ray] "," 123 minutes ","Mark Johnson",06/12/07,"Matt Long",$13.40
1695,"Star Trek VIII: First Contact (Remastered) [Blu-ray] "," 110 minutes ",,09/22/09,"Patrick Stewart",$11.99
1696,"The A-Team - Season Two "," 2216 minutes ",,04/12/05,"George Peppard",$14.69
1697,"Heavy Metal 2000 "," 90 minutes ","George Ungar",10/17/00,,$5.43
1698,"Street Outlaws   ",05/18/15,,2015,,"Buy SD $1.99,Buy HD $14.99,Buy SD $11.99,"
1699,"Hercules The Legendary Journeys - Season 6 "," 384 minutes ","Michael Hurst",07/12/05,"Michael Hurst",$28.99
1700,"Edge Of Alaska   ",08/14/15,,2015,,"Buy SD $1.99,"
1701,"King Kong [Blu-ray Book] "," 100 minutes ",,09/28/10,"Robert Armstrong",$19.59
1702,"Samurai Cop (Special Edition) "," 96 minutes ","Amir Shervan",04/19/13,"Robert Z'Dar",$11.49
1703,"There's Something About Mary (Widescreen Edition) "," 119 minutes ","Bobby Farrelly",02/01/05,"Ben Stiller",$12.29
1704,"The Prophet    ",,,2010,,"Buy SD $4.99,"
1705,"4 Film Favorites: Kurt Russell (Executive Decision, Unlawful Entry, Soldier, Tequila Sunrise) "," 466 minutes ",,03/29/11,,$9.56
1706,"Bowanga Bowanga    ","1 hour, 2 minutes","Norman Dawn",1951,"Lewis Wilson, Dana Broccoli","Buy SD $9.99,"
1707,"Alaskan Bush People   ","41 minutes","Jason Berman",2014,"Bill Brown, Gabe Brown","Buy SD $1.99,Buy HD $9.99,Buy SD $6.99,"
1708,"Pain & Gain "," 129 minutes ","Michael Bay",08/27/13,"Mark Wahlberg",$5.91
1709,"Around the World in 80 Days    ","3 hours, 2 minutes","Michael Anderson",1956,"David Niven, Cantinflas","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
1710,"Shoot 'Em Up    ","1 hour, 27 minutes","Michael Davis",2007,"Clive Owen, Paul Giamatti","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1711,"4 Film Favorites: Football  (We Are Marshall,Any Given Sunday: Director's Cut, The Replacements, Wildcats) "," 518 minutes ","Various",05/28/13,"Various",$10.66
1712,"Mr. And Mrs. Smith UNRATED   ",,,,,"Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $13.99,"
1713,"Burn Notice: Season 2 "," 684 minutes ",,06/16/09,"Jeffrey Donovan",$13.98
1714,"Rambo (Extended Cut) [Blu-ray] "," 99 minutes ","Sylvester Stallone",07/27/10,"Sylvester Stallone",$5.05
1715,"Horns    ","2 hours, 0 minutes","Alexandre Aja",2014,"Daniel Radcliffe, Max Minghella","Rent HD $4.99,Rent SD $3.99,Buy HD $19.99,Buy SD $14.99,"
1716,"A Lonely Place to Die [Blu-ray] "," 99 minutes ","Julian Gilbey",03/20/12,"Melissa George",$6.99
1717,"Aim High   ",10/18/11,"Thor Freudenthal",2011,"8 minutes","Buy SD $1.99,Buy HD $9.99,Buy SD $6.99,"
1718,"Naruto Shippuden the Movie: Blood Prison    ","1 hour, 43 minutes","Masahiko Murata",2011,"Junko Takeuchi, Chie Nakamura","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
1719,"The Life and Times of Judge Roy Bean    ","2 hours, 4 minutes","John Huston",1972,"Paul Newman, Roy Jenson","Rent SD $2.99,Buy SD $9.99,"
1720,"Michael Collins    ","2 hours, 13 minutes","Neil Jordan",1996,"Ian Hart, Julia Roberts","Rent HD $2.99,Rent SD $2.00,Buy HD $13.99,Buy SD $9.99,"
1721,"Turbo: A Power Rangers Movie    ","1 hour, 40 minutes","Shuki Levy",1997,"Jon Simanton, Kai Doi","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
1722,"MacGruber (Unrated Edition) "," 186 minutes ","Jorma Taccone",09/07/10,"Will Forte",$9.53
1723,"Crocodile Dundee    ","1 hour, 38 minutes","Peter Faiman",1986,"Paul Hogan, Linda Kozlowski","Rent HD $3.99,Rent SD $2.99,Buy HD $7.88,Buy SD $5.00,"
1724,"Kill the Irishman "," 106 minutes ","Jonathan Hensleigh",06/14/11,"Ray Stevenson",$7.89
1725,"Justice League: War [Blu-ray] "," 79 minutes ","Jay Oliva",02/04/14,"Alan Tudyk",$17.99
1726,"Rocky II    ","2 hours, 0 minutes","Sylvester Stallone",1979,"Sylvester Stallone, Talia Shire","Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
1727,"Mad Way South: The Sahara Challenge (English Subtitled)    ",,,2015,,"Rent SD $1.49,Buy HD $3.99,Buy SD $2.99,"
1728,"Enter the Dragon    ","1 hour, 43 minutes","Robert Clouse",1973,"Bruce Lee, John Saxon","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1729,"Spawn (Director's Cut) [Blu-ray] "," 96 minutes ","Mark A.Z. Dippé",07/10/12,"John Leguizamo",$6.99
1730,"Blues Brothers 2000 - Collector's Edition "," 124 minutes ","John Landis",08/04/98,"Dan Aykroyd",$6.17
1731,"Black Day Blue Night   ",,,,,
1732,"Because    ","55 minutes","Willis Barnette",2012,"Corey Felton,Topher Plimpton","Buy SD $4.99,"
1733,"My Fellow Americans "," 104 minutes ","Peter Segal",02/03/04,"Jack Lemmon",$4.94
1734,"The Prisoner of Zenda (1937 and 1952 Versions) "," 201 minutes ","Various",03/06/07,"Various",$13.46
1735,"Clint Eastwood American Icon Collection (Play Misty for Me / The Eiger Sanction / Coogan's Bluff / The Beguiled) "," 432 minutes ","Clint Eastwood",02/10/09,"Clarice Taylor",$9.61
1736,"Terminator Salvation (Two-Disc Director's Cut) [Blu-ray] "," 117 minutes ","McG",12/01/09,"Christian Bale",$9.73
1737,"Metropolis "," 109 minutes ","Rintaro",01/01/02,,$8.89
1738,"Kung Fu   ","49 minutes","Jerry Thorpe",1972,"David Carradine, Brandon Cruz","Buy SD $1.99,Buy SD $24.99,"
1739,"The Bionic Woman: Season 2 "," 1200 minutes ",,05/17/11,"Richard Anderson",$13.96
1740,"Superman/Batman: Public Enemies    ","1 hour, 7 minutes","Sam Liu",2010,"Clancy Brown, Kevin Conroy","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1741,"4 Film Favorites: Survival (Outbreak, The Perfect Storm, Poseidon, Twister) "," 472 minutes ","Jan de Bont",05/18/10,"Helen Hunt",$9.35
1742,"Xena: Warrior Princess The Complete Series (Seasons 1-6 Bundle) ",,,,"Lucy Lawless",
1743,"MacGyver - The Complete First Season "," 1045 minutes ","Alan Smithee",01/25/05,"Richard Dean Anderson",$11.26
1744,"Dark Shadows/ Sleepy Hollow (BD) (DBFE) [Blu-ray] "," 218 minutes ","Various",10/15/13,"Various",$7.99
1745,"John Carpenter's Escape From L.A. [Blu-ray] "," 100 minutes ","Various",05/04/10,"Various",$8.69
1746,"In Pursuit of Honor "," 110 minutes ","Ken Olin",05/30/06,"Craig Sheffer",$5.81
1747,"Mission: Impossible 3 [Blu-ray] "," 126 minutes ","J.J. Abrams",08/03/10,"Tom Cruise",$8.99
1748,"Red Dawn "," 114 minutes ",,03/05/13,"Chris Hemsworth",$12.98
1749,"Pale Rider    ","1 hour, 56 minutes","Clint Eastwood",1985,"Clint Eastwood, Michael Moriarty","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1750,"The Desert Rats "," 88 minutes ","Robert Wise",05/21/02,"Richard Burton",$9.82
1751,"Sinners in Paradise    ","1 hour, 5 minutes","James Whale",1938,"Madge Evans, John Boles","Buy SD $9.99,"
1752,"Batman: Under the Red Hood (Single-Disc Edition) "," 75 minutes ","Brandon Vietti",07/27/10,"Jensen Ackles",$10.99
1753,"Relic "," 111 minutes ","Various",04/20/99,"Various",$4.99
1754,"The Rum Diary    ","2 hours, 0 minutes","Bruce Robinson",2011,"Johnny Depp, Aaron Eckhart","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1755,"American History X / A History of Violence / True Romance (Triple Feature) [Blu-ray] ",,"Tony Kaye",11/13/12,"Edward Norton",$13.25
1756,"El Norte (The Criterion Collection) "," 140 minutes ","Gregory Nava",01/20/09,"Zaide Silvia Gutierrez",$23.42
1757,"Kiss Kiss Bang Bang [Blu-ray] "," 103 minutes ","Shane Black",08/01/06,"Robert Downey Jr.",$9.69
1758,"The Best of Abbott & Costello, Vol. 4 (Abbott & Costello Meet Dr. Jekyl & Mr. Hyde / Abbott & Costello Meet the Keystone Cops / Abbott & Costello Meet the Mummy / Abbott & Costello Meet Jerry Seinfeld / Abbott & Costello Meet the Monsters / The World of Abbott & Costello) "," 391 minutes ","Charles Lamont",10/04/05,"Boris Karloff",$22.99
1759,"Fish'n 4 Fun   ",12/27/13,"Tami Curtis",2013,"24 minutes","Buy SD $1.99,Buy HD $13.99,Buy SD $12.99,"
1760,"Executive Decision "," 134 minutes ","Stuart Baird",11/09/10,"Kurt Russell",$4.92
1761,"The Mummy Collector's Set (The Mummy/ The Mummy Returns/ The Scorpion King) "," 347 minutes ",,11/29/05,"Brendon Fraser",$12.65
1762,"Destination Moon "," 92 minutes ","Irving Pichel",02/29/00,"John Archer",$7.79
1763,"TCM Greatest Classic Film Collection: Gangsters - James Cagney (White Heat / City for Conquest / Each Dawn I Die / G Men) "," 395 minutes ",,09/07/10,"James Cagney",$9.66
1764,"The Venture Bros.: Season 4, Vol. 2 "," 286 minutes ","Various",03/22/11,"Various",$14.39
1765,"Firefox / Heartbreak Ridge (Two-Movie Collection) [Blu-ray] "," 236 minutes ",,06/07/11,"Clint Eastwood",$9.99
1766,"The Court Jester    ","1 hour, 42 minutes","Melvin Frank",1956,"Danny Kaye, Glynis Johns","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
